               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10599,            0.027442,            0.037261,                   0,                   0,                   0,                   0,            0.067303,             0.02621,            0.025289,              0.0991,              0.0001,              0.0001
                   1,             0.10057,            0.026597,            0.037798,                   0,                   0,                   0,                   0,            0.066442,            0.025802,            0.024791,            0.097299,          0.00029851,          0.00029851
                   2,             0.10619,            0.026896,            0.035801,                   0,                   0,                   0,                   0,            0.064976,            0.025122,            0.024015,            0.095495,          0.00049505,          0.00049505
                   3,             0.10209,            0.024788,            0.033951,                   0,                   0,                   0,                   0,            0.067419,            0.023924,            0.023863,             0.09369,           0.0006896,           0.0006896
                   4,            0.095571,            0.024956,            0.031855,                   0,                   0,                   0,                   0,            0.066298,             0.02299,            0.023431,            0.091882,          0.00088218,          0.00088218
                   5,            0.090686,            0.028363,            0.031026,           0.0049444,                   1,            0.020947,           0.0062842,            0.052727,            0.022687,            0.022189,            0.090073,           0.0010728,           0.0010728
                   6,            0.089209,            0.025395,            0.025942,           0.0035939,                   1,           0.0048655,           0.0034059,            0.062749,            0.019688,            0.021035,            0.088261,           0.0012614,           0.0012614
                   7,            0.076927,            0.022965,            0.023862,           0.0027836,                   1,           0.0036716,            0.002203,            0.053185,            0.019502,            0.016764,            0.086448,            0.001448,            0.001448
                   8,            0.074231,             0.02205,            0.020466,           0.0024907,                   1,           0.0028841,           0.0011536,             0.05138,            0.019442,            0.015768,            0.084633,           0.0016327,           0.0016327
                   9,            0.085303,            0.021226,            0.021285,           0.0024615,                   1,           0.0043929,           0.0017538,            0.060109,            0.018028,            0.016954,            0.082815,           0.0018154,           0.0018154
                  10,            0.076173,            0.024096,            0.018643,           0.0023378,                   1,           0.0029158,           0.0011663,            0.046665,            0.019436,            0.013441,            0.080996,            0.001996,            0.001996
                  11,            0.070635,            0.023148,            0.015945,           0.0021529,                   1,           0.0053495,           0.0010699,            0.050005,            0.018452,            0.012125,            0.079175,           0.0021748,           0.0021748
                  12,            0.074093,            0.025347,            0.013942,            0.001993,                   1,           0.0092991,           0.0050379,            0.037988,            0.019482,            0.010405,            0.077352,           0.0023515,           0.0023515
                  13,            0.079213,             0.01954,            0.015436,            0.002004,                   1,           0.0023153,          0.00092612,            0.048923,            0.018268,             0.01512,            0.075526,           0.0025263,           0.0025263
                  14,            0.074642,            0.024714,            0.014373,           0.0018613,                   1,           0.0020379,          0.00080485,            0.045303,            0.018064,            0.015454,            0.073699,            0.002699,            0.002699
                  15,            0.065019,            0.019133,            0.011377,           0.0016064,                   1,            0.034609,             0.01457,            0.043369,            0.017334,           0.0052352,             0.07187,           0.0028698,           0.0028698
                  16,             0.06827,            0.022354,            0.010237,           0.0014561,                   1,            0.034609,            0.014072,            0.047205,            0.016461,           0.0046407,            0.070039,           0.0030386,           0.0030386
                  17,            0.071172,            0.019956,           0.0079114,           0.0013928,                   1,            0.086522,            0.034609,            0.036703,            0.017429,           0.0074387,            0.068205,           0.0032055,           0.0032055
                  18,            0.069891,            0.021878,           0.0079047,           0.0014025,                   1,               0.199,            0.077628,            0.042719,            0.016028,           0.0065956,             0.06637,           0.0033703,           0.0033703
                  19,            0.076318,             0.02374,           0.0089093,           0.0014744,                   1,            0.025844,           0.0063753,            0.045094,             0.01511,           0.0051106,            0.064533,           0.0035332,           0.0035332
                  20,            0.067051,            0.020987,           0.0064827,           0.0014519,                   1,             0.24875,             0.14925,            0.035675,            0.015792,             0.00443,            0.062694,           0.0036941,           0.0036941
                  21,            0.053372,            0.016677,           0.0054788,           0.0014301,                   1,            0.088444,            0.026719,             0.03993,            0.015083,           0.0037063,            0.060853,            0.003853,            0.003853
